oid,cid,idn,tna,rnk,tid,oei,oli,eag,lag,rid,lng,lat,cnm,cxi,ctno,aka,eid,idr,iid,tdf,flg
occ:149834,col:13263,Theropoda indet.,Theropoda,25,txn:38513,Rhaetian,Hettangian,205.7,199.5,ref:4395,-108.930832,38.27861,La Sal Creek tracksite,2,,,,,,,
occ:149866,col:13271,Lewisuchus admixtus n. gen. n. sp.,Lewisuchus admixtus,3,txn:67917,Ladinian,,241.464,237.0,ref:4399,-67.820557,-29.823055,"Chañares River, 4 km north",138,26092,Los Chañares,,,,,
occ:149988,col:13285,,Efraasia minor,3,txn:54997,Norian,,227.3,205.7,ref:19481,8.978333,49.023609,"Goessel Quarry 375, Ochsenbach",136,,Goesel,rei:19972,,,,
occ:220070,col:22680,,Plateosaurus trossingensis,3,txn:64679,Norian,,227.3,205.7,ref:75731,8.016667,47.5,"""Gruhalde"" clay quarry, Frick (Bed 65)",136,,"ETE Locality 1555, Frick bonebed, Tonwerke Keller",rei:37935,,,,
occ:220073,col:22680,Liliensternus sp.,Liliensternus,5,txn:55542,Norian,,227.3,205.7,ref:30215,8.016667,47.5,"""Gruhalde"" clay quarry, Frick (Bed 65)",136,,"ETE Locality 1555, Frick bonebed, Tonwerke Keller",rei:21878,,,,
occ:220082,col:22683,Plateosaurus trossingensis n. sp.,Plateosaurus trossingensis,3,txn:64679,Norian,,227.3,205.7,ref:26308,8.65,48.066669,Trossingen - Obere Mühle (lower),136,,"ETE Locality 1558, Plateosaurus bonebed",,,,,
occ:220084,col:22683,Liliensternus sp.,Liliensternus,5,txn:55542,Norian,,227.3,205.7,ref:5702,8.65,48.066669,Trossingen - Obere Mühle (lower),136,,"ETE Locality 1558, Plateosaurus bonebed",,,,,
occ:220085,col:22684,Gresslyosaurus torgeri n. sp.,Prosauropoda,25,txn:38634,Rhaetian,,205.7,201.4,ref:58890,11.073611,51.897499,"Baerecke-Limpricht clay pit, Halberstadt (bed 18)",135,,"ETE Locality 1559, Plateosaurus bonebed",rei:23672,3.0,txn:65095,species not entered,
occ:220087,col:22684,Liliensternus sp.,Liliensternus,5,txn:55542,Rhaetian,,205.7,201.4,ref:5702,11.073611,51.897499,"Baerecke-Limpricht clay pit, Halberstadt (bed 18)",135,,"ETE Locality 1559, Plateosaurus bonebed",rei:28163,,,,
occ:229290,col:22682,? Pachysaurus giganteus n. sp.,Prosauropoda,25,txn:38634,Rhaetian,,205.7,201.4,ref:29483,8.65,48.066669,Trossingen - Obere Mühle (upper),135,,"ETE Locality 1557, Plateosaurus bonebed",,3.0,txn:64744,species not entered,
